Product_ID,Product_Name,Category,Product_Link,Discounted_Price,Actual_Price,Rating,Rating_Count,Reviewers,Reviews
,Graco Extend2Fit Convertible Baby Car Seat,Baby Products$Car Seats & Accessories,https://www.amazon.com/Graco-Extend2Fit-Convertible-Seat-Gotham/dp/B019EGMGR0?ref=dlx_deals_dg_dcl_B019EGMGR0_dt_sl14_a6,$149.99,List Price: $199.99,4.8 out of 5,"70,954 global ratings",Amazon Customer|Amazon Customer|Chiara Flattery|Rebecca Hanshew|Alayna|Justin|Ashley|Marie|Marie|Mark|Barbara Dutra|Cliente de Amazon|Perla B.|Abhishek Behari|Abhishek Behari|AM Sharma,"Versatile and Comfortable – A Top Choice for Growing Families!|Safe and affordable|Absolutely love the installation latches !|Perfection! Safe! Great Product!|Excellent Car Seat – Safe, Comfortable, and a Great Deal!|My favorite car seat!|Seems decent but using the anchor straps is a must"
B019EGMGR0,Graco Extend2Fit Convertible Baby Car Seat,Baby Products$Car Seats & Accessories,https://www.amazon.com/Graco-Extend2Fit-Convertible-Seat-Gotham/dp/B019EGMGR0?ref=dlx_deals_dg_dcl_B019EGMGR0_dt_sl14_a6,$149.99,List Price: $199.99,4.8 out of 5,"70,954 global ratings",Amazon Customer|Amazon Customer|Chiara Flattery|Rebecca Hanshew|Alayna|Justin|Ashley|Marie|Marie|Mark|Barbara Dutra|Cliente de Amazon|Perla B.|Abhishek Behari|Abhishek Behari|AM Sharma,"Versatile and Comfortable – A Top Choice for Growing Families!|Safe and affordable|Absolutely love the installation latches !|Perfection! Safe! Great Product!|Excellent Car Seat – Safe, Comfortable, and a Great Deal!|My favorite car seat!|Seems decent but using the anchor straps is a must"
B01LWMWAXV,King Size 4 Piece Sheet Set - Comfy Breathable & Cooling Sheets - Hotel Luxury Bed Sheets for Women & Men - Deep Pockets,Home & Kitchen$Bedding,https://www.amazon.com/King-Size-Sheet-Set-Breathable/dp/B01LWMWAXV?ref=dlx_deals_dg_dcl_B01LWMWAXV_dt_sl14_a6,$29.74,Typical price: $34.99,4.5 out of 5,"349,108 global ratings",Amazon Customer|Amazon Customer|John cromwell|Amanda|A Shopper|Lisa|Kehinda Pryor|J. L.|Anuj sharma|Brenda M.|Malak|Kamal A.|Felix Barongo,"Finally we BOTH can sleep comfy!|Luxurious Comfort and Quality!|Very Comfortable and Soft|The softest sheets!|Soft, Cool, and Luxuriously Comfortable!|Love these sheets!"
B07XFC3MF3,MZOO Sleep Eye Mask for Men Women,Health & Household$Health Care,https://www.amazon.com/MZOO-Contoured-Sleeping-Blindfold-Concave/dp/B07XFC3MF3?ref=dlx_deals_dg_dcl_B07XFC3MF3_dt_sl14_a6,$16.99,Typical price: $22.99,4.6 out of 5,"93,186 global ratings",Amazon Customer|Amazon Customer|Nithin Kumar|Cam|Cam|djljejm7|Perrie Carrow|DBS|Margaret Justice|ChiChi16|Susy|Manuel Jesús Araujo Alamilla|Abdulelah|L D|Denise gh,Product Design|**A Nighttime Revelation: The MZOO Sleep Eye Mask Transforms Sleep!**|Perfect in every way|Very comfortable and blocks light|Excellent!|Love this Sleep Mask|Voted 2024 best sleep mask!
B08YYVRXLM,Momcozy Pregnancy Pillows for Sleeping,Baby Products$Pregnancy & Maternity,https://www.amazon.com/Momcozy-Pregnancy-Maternity-Removable-Sleeping/dp/B08YYVRXLM?ref=dlx_deals_dg_dcl_B08YYVRXLM_dt_sl14_a6,$36.99,List Price: $54.99,4.5 out of 5,"21,077 global ratings",Amazon Customer|Amazon Customer|Jammie|Nick|Kimmy|Lavender seeker|Kristen A.|Julia|Dhara|Yara|Ajay Shrivatsav V.P.|Nouf|Em|Em|Tamika|kyra iannone,Comfortable!|Not just for pregnancy|It’s cool and comfortable.|Pregnancy pillow|Dense & Fluffy - so much better than I was expecting|Perfect fit|Too fluffy and uncomfortable to sleep with|Super comfortable!
B0B5WNWS2T,COOFANDY Mens Sport Coat Casual Blazer One Button Business Suit Jacket,"Clothing, Shoes & Jewelry$Men",https://www.amazon.com/COOFANDY-Blazers-Casual-Business-Fashion/dp/B0B5WNWS2T?ref=dlx_deals_dg_dcl_B0B5WNWS2T_dt_sl14_a6,,,4.2 out of 5,"4,577 global ratings",Amazon Customer|Amazon Customer|Ali Hyman|Branden Martin|PH-animal luver|Amazon Customer|Cheryl|Joe|AJPhotoguy|Goldsmith's|Michelle Major|Michelle Major|Victor|MIKE|Charles f O'Connor|Sharon R.,"A Stylish and Well-Fitting Sport Coat - COOFANDY Delivers Excellence|COOFANDY Mens Sport Coat Casual Blazer One Button Business Suit Jacket|Good at this price point but sleeves run long|A perfect Foot|runs small|Great jacket!|Great value|Comfortable, great price, looked good"
B07F946VMJ,Extra Deep Queen Sheet Set - 6 Piece Breathable & Cooling Sheets - Hotel Luxury Bed Sheets Set - Easy & Secure Fit - Soft,Home & Kitchen$Bedding,https://www.amazon.com/Piece-Fitted-Sheet-Set-Mattress/dp/B07F946VMJ?ref=dlx_deals_dg_dcl_B07F946VMJ_dt_sl14_a6,$34.92,List Price: $79.99,4.4 out of 5,"79,532 global ratings",Amazon Customer|Amazon Customer|Hayley|J.|Judy L.|Gabby|Arleen|DEBORAH|Vic|MARIA EUGENIA GONZALEZ VELA|Martha perez|Irma,"You won’t be disappointed|Can't go wrong with these.|Get the best sleep ever - soft, stay cool, don't wrinkle or pill after washing, and stay on.|Wait till they go on sale!|So soft and satiny!"
B00GS8VGP6,MedPride Powder-Free Nitrile Exam Gloves,Industrial & Scientific$Professional Medical Supplies,https://www.amazon.com/MedPride-Powder-Free-Nitrile-Gloves-Large/dp/B00GS8VGP6?ref=dlx_deals_dg_dcl_B00GS8VGP6_dt_sl14_a6,$8.49,Typical price: $9.99,4.7 out of 5,"93,072 global ratings",Amazon Customer|Amazon Customer|Sam Lyon|daffy|Megan Taniguchi|Beth k|Josh|Carl|Amazon Customer|Akbar pathan|Akbar pathan|W.Russo|ANNIE,Great gloves for medical professionals and home use!|Love these|Best Medical Grade Gloves for Caregiving from home|fine for light to medium use|Can’t go wrong with these
B0CLY9JK8V,FullChea - Goji Berry Tea For Men,Grocery & Gourmet Food$Beverages,https://www.amazon.com/FullChea-Premium-Combination-Schisandra-Wolfberry/dp/B0CLY9JK8V?ref=dlx_deals_dg_dcl_B0CLY9JK8V_dt_sl14_a6,,,4.4 out of 5,"10,440 global ratings",Amazon Customer|Amazon Customer|cranesia2010|Wendy|A W|Russ|Jerry Thompson|Christina Serrano-Hernandez|letty|JudyK|D. Turner|Yikes!|Doug Norkum|Lise Denis|Frank,Good Product|Yummy!  It's actually GINGER!!|THIS STUFF WORKS!!!  FOR SURE OR AT LEAST FOR ME IT DID!  GOTTA POOP AND CAN'T?  TRY THIS!!!|Seems like a nice tea|Tastes great|Love|Excellent hibiscus tea|Dandelion tea
B0BP1GWWX9,EHEYCIGA Orthopedic Dog Beds for Extra Large Dogs,Pet Supplies$Dogs,https://www.amazon.com/EHEYCIGA-Waterproof-Orthopedic-Egg-Crate-Removable/dp/B0BP1GWWX9?ref=dlx_deals_dg_dcl_B0BP1GWWX9_dt_sl14_a6,$44.99,Typical price: $59.99,4.5 out of 5,"6,775 global ratings",Amazon Customer|Amazon Customer|Jade|John Davidson|John Davidson|Ashley|Lynn C|Gramma Bamma|Em|DW|Mirna Lujan|Mirna Lujan|Sharon Gardner|Ordered a large and received a small also the base of the bed was ripped could only put one reason for return which is ridiculous!|a4295|Tonya|Tonya|Abigail|Abigail,Great quality!|Impressed|The dogs love it|The dog likes it!|ZEN DOG APPROVES! THIS BED IS BOW-FREAKING-WOW!!|Pretty nice inexpensive bed|My Fur Babies Love It!|10/10!
